n,Network Configuration,Realization,Optimal Objective
20,V1,1,891.904
20,V1,2,713.35
20,V1,3,747.986
20,V1,4,872.901
20,V1,5,863.033
20,V2,6,1029.22
20,V2,7,1042.86
20,V2,8,975.76
20,V2,9,1086.61
20,V2,10,1080.22
20,V3,11,853.515
20,V3,12,955.055
20,V3,13,803.222
20,V3,14,963.447
20,V3,15,822.159
20,V4,16,888.054
20,V4,17,965.778
20,V4,18,813.568
20,V4,19,968.735
20,V4,20,922.25
20,V5,21,1113.75
20,V5,22,1088.5
20,V5,23,1088.08
20,V5,24,1021.46
20,V5,25,1138.85
30,V1,1,966.359
30,V1,2,1057.84
30,V1,3,966.229
30,V1,4,969.983
30,V1,5,959.103
30,V2,6,1113.1
30,V2,7,1187.65
30,V2,8,1146.05
30,V2,9,1008.24
30,V2,10,1105.09
30,V3,11,889.045
30,V3,12,994.056
30,V3,13,1116.91
30,V3,14,1081.76
30,V3,15,946.528
30,V4,16,1182.95
30,V4,17,1053.29
30,V4,18,1182.74
30,V4,19,1054.04
30,V4,20,1084.03
30,V5,21,1246.99
30,V5,22,1198.53
30,V5,23,1146.19
30,V5,24,1291.37
30,V5,25,1241.29
40,V1,1,1107.53
40,V1,2,1069.21
40,V1,3,915.514
40,V1,4,1080.95
40,V1,5,975.988
40,V2,6,1143.12
40,V2,7,992.2
40,V2,8,1116.82
40,V2,9,1188.58
40,V2,10,1147.5
40,V3,11,1152.72
40,V3,12,1116.37
40,V3,13,1103.28
40,V3,14,1065.17
40,V3,15,1088.3
40,V4,16,1265.3
40,V4,17,1318.35
40,V4,18,1177.62
40,V4,19,1120.87
40,V4,20,1206.65
40,V5,21,1248.06
40,V5,22,1204.25
40,V5,23,1290.83
40,V5,24,1313.69
40,V5,25,1226.62
